No,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
11,강원,홍천군,95.126,95.305,95.478,95.661,95.854,96.020,96.164,96.318,96.452,96.597,96.758,96.928,97.088,97.246,97.425,97.587,97.744,97.900,97.988,98.027,98.046,98.048,98.107,98.136,98.183,98.223,98.270,98.300,98.324,98.346,98.357,98.375,98.391,98.430,98.499,98.569,98.648,98.707,98.836,98.949,99.037,99.144,99.193,99.274,99.341,99.410,99.485,99.560,99.604,99.655,99.700,99.739,99.785,99.836,99.893,99.958,100.000,100.038,100.089
12,강원,횡성군,95.413,95.576,95.746,95.910,96.069,96.224,96.392,96.554,96.671,96.786,96.902,97.065,97.286,97.499,97.676,97.857,98.019,98.169,98.220,98.260,98.280,98.282,98.302,98.332,98.361,98.391,98.416,98.436,98.456,98.492,98.521,98.554,98.582,98.609,98.673,98.745,98.824,98.914,99.015,99.112,99.199,99.287,99.339,99.371,99.414,99.470,99.531,99.594,99.643,99.696,99.735,99.768,99.807,99.851,99.897,99.956,100.000,100.042,100.093
13,강원,영월군,95.787,95.957,96.126,96.298,96.467,96.621,96.763,96.911,97.032,97.150,97.290,97.428,97.583,97.739,97.888,98.027,98.147,98.246,98.326,98.362,98.368,98.367,98.371,98.407,98.418,98.435,98.463,98.482,98.511,98.537,98.556,98.582,98.605,98.624,98.670,98.729,98.803,98.868,98.957,99.047,99.105,99.156,99.216,99.286,99.331,99.389,99.479,99.529,99.571,99.621,99.674,99.716,99.769,99.817,99.873,99.942,100.000,100.041,100.143
14,강원,평창군,95.170,95.388,95.620,95.859,96.047,96.238,96.431,96.622,96.766,96.881,97.026,97.152,97.290,97.410,97.530,97.638,97.734,97.826,97.913,97.957,97.966,97.968,97.975,97.983,97.997,98.018,98.039,98.058,98.086,98.112,98.158,98.195,98.220,98.293,98.353,98.438,98.491,98.579,98.683,98.760,98.858,98.937,99.011,99.101,99.169,99.250,99.328,99.388,99.458,99.520,99.594,99.683,99.738,99.791,99.872,99.942,100.000,100.049,100.112
15,강원,정선군,95.960,96.081,96.184,96.297,96.395,96.504,96.615,96.697,96.775,96.853,96.977,97.094,97.209,97.339,97.456,97.581,97.698,97.811,97.916,97.958,97.972,97.954,97.970,98.008,98.052,98.088,98.116,98.139,98.174,98.189,98.207,98.225,98.263,98.329,98.428,98.545,98.627,98.727,98.845,98.947,99.070,99.139,99.203,99.263,99.314,99.397,99.460,99.535,99.592,99.643,99.695,99.741,99.796,99.841,99.904,99.949,100.000,100.046,100.104
16,강원,철원군,97.131,97.283,97.421,97.545,97.646,97.744,97.846,97.946,98.038,98.124,98.235,98.340,98.465,98.598,98.760,98.895,99.016,99.121,99.179,99.191,99.201,99.211,99.224,99.235,99.245,99.262,99.278,99.288,99.311,99.354,99.400,99.439,99.466,99.503,99.632,99.728,99.831,99.907,99.990,100.087,100.109,100.135,100.134,100.114,100.089,100.088,100.097,100.106,100.098,100.085,100.059,100.035,100.012,100.010,100.004,100.003,100.000,99.998,99.997
17,강원,화천군,97.050,97.260,97.437,97.604,97.687,97.752,97.819,97.890,97.954,98.026,98.101,98.184,98.305,98.434,98.577,98.695,98.802,98.893,98.929,98.935,98.939,98.942,98.951,98.966,98.990,99.008,99.025,99.050,99.063,99.102,99.130,99.147,99.160,99.171,99.228,99.295,99.347,99.406,99.481,99.586,99.665,99.697,99.711,99.720,99.733,99.744,99.773,99.811,99.842,99.857,99.867,99.878,99.897,99.915,99.941,99.969,100.000,100.025,100.060
18,강원,양구군,96.374,96.528,96.670,96.813,96.960,97.060,97.202,97.334,97.445,97.564,97.692,97.829,97.977,98.095,98.208,98.328,98.448,98.552,98.598,98.608,98.609,98.610,98.616,98.626,98.644,98.655,98.665,98.681,98.703,98.738,98.774,98.790,98.806,98.836,98.885,98.936,99.001,99.067,99.140,99.237,99.310,99.391,99.474,99.534,99.574,99.601,99.645,99.700,99.729,99.764,99.792,99.816,99.850,99.889,99.929,99.966,100.000,100.029,100.079
19,강원,인제군,95.127,95.274,95.417,95.569,95.710,95.846,95.979,96.129,96.246,96.373,96.516,96.662,96.787,96.942,97.064,97.188,97.330,97.436,97.483,97.497,97.506,97.505,97.510,97.525,97.546,97.561,97.572,97.595,97.614,97.652,97.672,97.692,97.710,97.734,97.778,97.831,97.895,97.960,98.052,98.148,98.276,98.438,98.593,98.754,98.869,98.962,99.072,99.221,99.323,99.426,99.515,99.605,99.674,99.740,99.816,99.911,100.000,100.077,100.181
20,강원,고성군,90.238,90.483,90.796,91.158,91.509,91.837,92.165,92.456,92.719,92.988,93.287,93.619,93.920,94.236,94.511,94.789,95.022,95.203,95.315,95.375,95.411,95.410,95.444,95.487,95.521,95.559,95.590,95.618,95.679,95.727,95.788,95.834,95.873,96.006,96.150,96.311,96.443,96.576,96.769,96.969,97.172,97.398,97.608,97.809,97.982,98.172,98.323,98.493,98.641,98.791,98.935,99.081,99.240,99.422,99.608,99.805,100.000,100.187,100.389
21,강원,양양군,88.309,88.661,89.018,89.336,89.614,89.891,90.503,91.082,91.488,91.861,92.237,92.612,92.972,93.322,93.666,93.992,94.293,94.484,94.600,94.666,94.706,94.710,94.741,94.776,94.853,94.951,95.020,95.069,95.099,95.180,95.281,95.342,95.386,95.536,95.728,95.843,96.035,96.211,96.515,96.815,96.992,97.207,97.451,97.720,97.868,98.065,98.213,98.386,98.545,98.717,98.906,99.066,99.230,99.386,99.581,99.789,100.000,100.175,100.359
