No,지역,지역.1,지역.2,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
50,경기,화성시,화성시,88.409,88.692,88.945,89.215,89.465,89.712,89.981,90.238,90.478,90.719,90.975,91.266,91.556,91.851,92.121,92.371,92.609,92.751,92.847,92.855,92.853,92.850,92.850,92.859,92.895,92.932,92.999,93.138,93.297,93.474,93.665,93.922,94.145,94.407,94.648,94.878,95.166,95.455,95.734,95.947,96.217,96.489,96.782,97.026,97.273,97.512,97.783,98.029,98.269,98.525,98.757,98.994,99.201,99.395,99.593,99.798,100.000,100.169,100.333
51,경기,화성시,만세구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,100.196,100.377
52,경기,화성시,효행구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,100.140,100.291
53,경기,화성시,병점구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,100.130,100.258
54,경기,화성시,동탄구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,100.161,100.322
55,경기,광주시,광주시,89.412,89.732,90.082,90.443,90.795,91.140,91.510,91.878,92.221,92.538,92.873,93.227,93.579,93.925,94.271,94.594,94.868,95.001,95.067,95.102,95.066,95.001,94.932,94.924,94.962,95.001,95.039,95.107,95.220,95.332,95.498,95.612,95.736,95.837,96.030,96.243,96.485,96.697,96.902,97.101,97.267,97.437,97.610,97.779,97.939,98.103,98.283,98.487,98.665,98.858,99.029,99.182,99.387,99.516,99.660,99.850,100.000,100.129,100.299
56,경기,양주시,양주시,93.692,93.973,94.231,94.507,94.783,95.068,95.309,95.534,95.744,95.946,96.205,96.456,96.725,96.979,97.227,97.446,97.639,97.735,97.770,97.805,97.800,97.797,97.796,97.794,97.790,97.789,97.790,97.806,97.816,97.849,97.947,98.033,98.068,98.123,98.198,98.287,98.336,98.382,98.467,98.512,98.560,98.634,98.678,98.740,98.787,98.866,99.003,99.155,99.243,99.351,99.446,99.524,99.615,99.703,99.808,99.901,100.000,100.071,100.153
57,경기,포천시,포천시,94.055,94.303,94.534,94.778,95.013,95.236,95.457,95.686,95.901,96.110,96.353,96.600,96.845,97.073,97.294,97.503,97.670,97.798,97.860,97.898,97.891,97.879,97.878,97.884,97.889,97.904,97.925,97.964,97.993,98.032,98.076,98.119,98.154,98.211,98.280,98.362,98.423,98.487,98.550,98.605,98.656,98.714,98.766,98.827,98.882,98.931,99.048,99.190,99.274,99.377,99.463,99.554,99.641,99.727,99.821,99.921,100.000,100.057,100.131
58,경기,여주시,여주시,92.502,92.761,93.015,93.260,93.534,93.812,94.097,94.353,94.606,94.870,95.144,95.425,95.696,95.949,96.204,96.465,96.730,96.911,97.047,97.088,97.060,97.039,97.022,97.008,97.011,97.020,97.027,97.044,97.063,97.081,97.105,97.125,97.154,97.252,97.411,97.537,97.695,97.859,98.004,98.120,98.223,98.373,98.494,98.594,98.683,98.790,98.927,99.072,99.178,99.292,99.409,99.486,99.595,99.684,99.796,99.911,100.000,100.106,100.213
59,경기,연천군,연천군,94.939,95.123,95.293,95.476,95.635,95.795,95.966,96.157,96.349,96.556,96.736,96.914,97.111,97.312,97.498,97.681,97.830,97.938,97.995,98.003,98.015,98.026,98.047,98.063,98.079,98.092,98.107,98.128,98.155,98.179,98.205,98.243,98.293,98.445,98.535,98.637,98.719,98.797,98.886,98.965,99.034,99.086,99.136,99.183,99.222,99.270,99.327,99.385,99.449,99.520,99.595,99.660,99.726,99.794,99.865,99.939,100.000,100.059,100.134
60,경기,가평군,가평군,94.026,94.267,94.515,94.759,94.976,95.166,95.336,95.522,95.703,95.899,96.132,96.370,96.564,96.746,96.930,97.101,97.262,97.366,97.389,97.406,97.410,97.419,97.452,97.495,97.518,97.550,97.572,97.614,97.648,97.702,97.773,97.868,97.919,98.012,98.081,98.211,98.310,98.423,98.550,98.642,98.725,98.808,98.913,99.014,99.075,99.147,99.253,99.363,99.443,99.524,99.600,99.668,99.741,99.802,99.866,99.936,100.000,100.058,100.118
61,경기,양평군,양평군,94.456,94.734,94.999,95.245,95.491,95.735,95.961,96.190,96.410,96.622,96.836,97.071,97.313,97.554,97.783,98.011,98.228,98.385,98.518,98.557,98.527,98.491,98.466,98.450,98.451,98.446,98.431,98.420,98.411,98.415,98.425,98.434,98.444,98.434,98.474,98.550,98.602,98.657,98.715,98.792,98.854,98.922,98.982,99.052,99.113,99.184,99.261,99.346,99.414,99.500,99.577,99.649,99.724,99.792,99.851,99.930,100.000,100.078,100.164
