No,지역,지역.1,지역.2,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
11,경기,성남시,중원구,88.733,89.129,89.555,89.938,90.356,90.745,91.123,91.557,91.913,92.266,92.629,93.018,93.416,93.802,94.180,94.538,94.730,94.685,94.584,94.414,94.224,94.072,94.059,94.123,94.165,94.201,94.243,94.337,94.440,94.581,94.721,94.869,95.022,95.212,95.412,95.626,95.821,96.033,96.286,96.525,96.745,96.994,97.205,97.395,97.563,97.745,97.940,98.121,98.280,98.510,98.730,98.909,99.159,99.446,99.635,99.819,100.000,100.195,100.390
12,경기,성남시,분당구,87.735,88.014,88.293,88.572,88.867,89.170,89.452,89.740,90.000,90.219,90.480,90.725,91.115,91.461,91.776,92.121,92.345,92.521,92.659,92.676,92.583,92.545,92.543,92.542,92.625,92.702,92.792,92.920,93.041,93.159,93.334,93.531,93.682,93.881,94.149,94.433,94.736,95.046,95.342,95.607,95.859,96.105,96.380,96.596,96.774,96.992,97.195,97.421,97.673,97.988,98.294,98.580,98.885,99.178,99.461,99.714,100.000,100.269,100.546
13,경기,의정부시,의정부시,92.686,93.024,93.370,93.701,94.001,94.273,94.537,94.790,95.022,95.226,95.458,95.707,95.958,96.206,96.446,96.663,96.855,96.926,96.859,96.794,96.747,96.698,96.690,96.667,96.642,96.630,96.619,96.631,96.680,96.750,96.818,96.936,97.004,97.119,97.257,97.436,97.585,97.753,97.929,98.047,98.167,98.305,98.447,98.606,98.705,98.844,98.947,99.068,99.170,99.271,99.371,99.470,99.599,99.691,99.793,99.914,100.000,100.118,100.232
14,경기,안양시,안양시,87.714,88.160,88.628,89.086,89.507,89.920,90.288,90.683,91.060,91.453,91.832,92.228,92.613,92.983,93.315,93.621,93.828,93.956,93.938,93.912,93.867,93.801,93.781,93.767,93.766,93.773,93.779,93.909,94.043,94.258,94.485,94.711,94.941,95.180,95.412,95.624,95.825,96.028,96.239,96.435,96.619,96.810,97.000,97.206,97.395,97.578,97.776,97.982,98.191,98.403,98.627,98.847,99.067,99.288,99.512,99.757,100.000,100.238,100.471
15,경기,안양시,만안구,88.973,89.292,89.638,90.018,90.371,90.712,91.035,91.375,91.684,92.006,92.303,92.634,92.971,93.316,93.636,93.933,94.127,94.246,94.289,94.316,94.303,94.293,94.284,94.280,94.278,94.280,94.283,94.380,94.476,94.662,94.884,95.114,95.336,95.576,95.837,96.022,96.222,96.407,96.611,96.796,96.972,97.156,97.340,97.536,97.717,97.892,98.078,98.267,98.459,98.647,98.830,99.012,99.200,99.396,99.600,99.805,100.000,100.196,100.394
16,경기,안양시,동안구,87.023,87.540,88.076,88.575,89.034,89.487,89.880,90.305,90.718,91.151,91.576,92.008,92.419,92.802,93.141,93.452,93.666,93.798,93.748,93.692,93.630,93.533,93.505,93.487,93.489,93.499,93.507,93.656,93.810,94.039,94.269,94.492,94.727,94.967,95.184,95.411,95.612,95.826,96.041,96.243,96.429,96.625,96.817,97.029,97.222,97.408,97.614,97.829,98.046,98.272,98.518,98.757,98.995,99.230,99.464,99.731,100.000,100.261,100.513
17,경기,부천시,부천시,88.641,88.942,89.293,89.621,89.959,90.280,90.627,90.983,91.347,91.719,92.096,92.482,92.884,93.255,93.610,93.927,94.145,94.272,94.351,94.377,94.375,94.374,94.379,94.384,94.398,94.417,94.440,94.603,94.741,94.970,95.207,95.434,95.503,95.677,95.852,96.022,96.199,96.366,96.524,96.685,96.849,97.015,97.181,97.346,97.519,97.691,97.878,98.074,98.266,98.457,98.666,98.871,99.105,99.335,99.570,99.794,100.000,100.193,100.389
18,경기,부천시,원미구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.546,95.557,95.731,95.900,96.068,96.237,96.401,96.556,96.713,96.868,97.026,97.183,97.343,97.503,97.669,97.854,98.045,98.238,98.433,98.644,98.848,99.092,99.330,99.571,99.794,100.000,100.193,100.387
19,경기,부천시,소사구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.610,95.789,95.938,96.094,96.242,96.393,96.540,96.680,96.819,96.966,97.117,97.264,97.410,97.595,97.754,97.936,98.126,98.310,98.488,98.705,98.915,99.134,99.355,99.584,99.802,100.000,100.191,100.382
20,경기,부천시,오정구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.992,95.099,95.294,95.491,95.680,95.898,96.093,96.276,96.466,96.669,96.868,97.073,97.270,97.471,97.675,97.871,98.076,98.270,98.465,98.668,98.873,99.098,99.322,99.553,99.785,100.000,100.198,100.401
