No,지역,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
11,충남,논산시,논산시,95.324,95.522,95.736,95.946,96.141,96.337,96.534,96.734,96.929,97.123,97.319,97.523,97.718,97.916,98.105,98.271,98.394,98.436,98.407,98.233,98.103,98.002,97.996,97.993,97.989,97.979,97.972,97.987,98.021,98.054,98.155,98.282,98.386,98.489,98.584,98.697,98.767,98.835,98.896,98.948,98.992,99.045,99.107,99.168,99.227,99.286,99.343,99.408,99.469,99.518,99.565,99.611,99.666,99.739,99.825,99.915,100.000,100.084,100.170
12,충남,계룡시,계룡시,95.845,96.049,96.249,96.443,96.644,96.840,97.041,97.247,97.442,97.641,97.836,97.998,98.163,98.327,98.489,98.631,98.741,98.781,98.704,98.615,98.532,98.468,98.444,98.398,98.399,98.378,98.372,98.385,98.410,98.446,98.491,98.627,98.709,98.767,98.819,98.879,98.943,99.011,99.074,99.124,99.155,99.193,99.237,99.283,99.338,99.386,99.437,99.492,99.542,99.581,99.619,99.656,99.717,99.788,99.863,99.929,100.000,100.063,100.127
13,충남,당진시,당진시,95.676,95.801,95.951,96.090,96.199,96.323,96.450,96.587,96.704,96.813,96.958,97.091,97.230,97.345,97.477,97.616,97.762,97.897,97.919,97.931,97.926,97.916,97.970,98.015,98.077,98.173,98.276,98.404,98.484,98.470,98.531,98.602,98.671,98.740,98.811,98.871,98.925,98.977,99.056,99.182,99.308,99.367,99.402,99.442,99.500,99.558,99.610,99.657,99.696,99.732,99.785,99.825,99.866,99.892,99.928,99.965,100.000,100.038,100.077
14,충남,금산군,금산군,96.202,96.476,96.719,96.924,97.068,97.259,97.436,97.582,97.737,97.914,98.085,98.250,98.430,98.596,98.756,98.897,98.995,99.027,99.005,98.977,98.959,98.943,98.926,98.906,98.891,98.882,98.898,98.909,98.929,98.941,98.951,98.966,98.976,98.983,99.004,99.034,99.076,99.113,99.155,99.194,99.231,99.275,99.317,99.361,99.397,99.442,99.495,99.550,99.604,99.648,99.697,99.743,99.794,99.847,99.894,99.952,100.000,100.045,100.091
15,충남,부여군,부여군,96.261,96.440,96.640,96.837,97.036,97.232,97.451,97.634,97.793,97.940,98.131,98.309,98.471,98.627,98.768,98.909,99.010,99.037,99.030,99.006,98.989,98.979,98.968,98.954,98.948,98.937,98.951,98.968,98.990,99.008,99.028,99.058,99.083,99.104,99.126,99.148,99.177,99.207,99.239,99.275,99.315,99.360,99.403,99.448,99.490,99.532,99.580,99.625,99.667,99.711,99.751,99.785,99.820,99.863,99.908,99.955,100.000,100.043,100.095
16,충남,서천군,서천군,96.850,96.965,97.082,97.194,97.304,97.421,97.548,97.677,97.797,97.920,98.047,98.175,98.290,98.417,98.551,98.672,98.765,98.804,98.784,98.755,98.739,98.715,98.703,98.695,98.681,98.666,98.648,98.627,98.673,98.740,98.803,98.851,98.905,98.935,98.978,99.028,99.077,99.113,99.170,99.226,99.284,99.340,99.401,99.460,99.513,99.566,99.622,99.679,99.725,99.776,99.821,99.845,99.865,99.882,99.911,99.955,100.000,100.037,100.081
17,충남,청양군,청양군,96.576,96.708,96.846,96.976,97.116,97.265,97.411,97.579,97.744,97.903,98.068,98.231,98.391,98.548,98.716,98.864,99.000,99.049,99.067,99.082,99.061,99.053,99.045,99.045,99.040,98.999,98.952,98.899,98.846,98.852,98.960,99.089,99.128,99.155,99.193,99.234,99.267,99.293,99.343,99.389,99.438,99.489,99.533,99.581,99.626,99.671,99.728,99.775,99.806,99.840,99.868,99.886,99.904,99.919,99.940,99.971,100.000,100.027,100.066
18,충남,홍성군,홍성군,94.957,95.172,95.362,95.540,95.727,95.913,96.115,96.324,96.509,96.704,96.889,97.086,97.299,97.491,97.692,97.881,98.022,98.100,98.136,98.156,98.096,98.061,98.108,98.208,98.273,98.319,98.356,98.376,98.464,98.467,98.485,98.512,98.563,98.600,98.671,98.721,98.769,98.817,98.915,99.006,99.099,99.185,99.275,99.359,99.404,99.461,99.524,99.588,99.656,99.709,99.761,99.807,99.846,99.885,99.920,99.957,100.000,100.042,100.101
19,충남,예산군,예산군,95.558,95.746,95.910,96.054,96.221,96.386,96.560,96.744,96.908,97.052,97.231,97.414,97.576,97.722,97.898,98.050,98.186,98.274,98.320,98.341,98.319,98.310,98.309,98.299,98.284,98.265,98.250,98.244,98.304,98.353,98.394,98.451,98.501,98.526,98.589,98.658,98.722,98.781,98.871,98.951,99.026,99.104,99.184,99.262,99.322,99.389,99.456,99.520,99.579,99.642,99.697,99.745,99.795,99.843,99.896,99.951,100.000,100.045,100.099
20,충남,태안군,태안군,95.389,95.541,95.681,95.824,96.022,96.215,96.477,96.703,96.907,97.095,97.279,97.465,97.656,97.847,98.051,98.227,98.360,98.421,98.460,98.490,98.460,98.438,98.429,98.418,98.416,98.407,98.396,98.381,98.450,98.526,98.605,98.690,98.749,98.778,98.808,98.836,98.863,98.893,98.959,99.023,99.082,99.146,99.211,99.274,99.329,99.377,99.421,99.467,99.523,99.577,99.628,99.691,99.756,99.815,99.877,99.942,100.000,100.057,100.120
