No,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
11,전남,구례군,94.684,94.946,95.204,95.468,95.735,96.005,96.279,96.560,96.843,97.113,97.376,97.654,97.929,98.181,98.425,98.652,98.846,98.993,99.029,99.024,99.013,99.003,98.999,99.010,99.014,99.016,99.004,99.025,99.034,99.065,99.132,99.159,99.192,99.238,99.298,99.348,99.413,99.459,99.502,99.545,99.583,99.636,99.696,99.747,99.791,99.844,99.883,99.893,99.906,99.923,99.927,99.913,99.959,99.998,100.038,100.011,100.000,99.979,99.980
12,전남,고흥군,94.251,94.506,94.765,95.023,95.278,95.538,95.827,96.128,96.398,96.672,96.958,97.241,97.520,97.805,98.074,98.333,98.548,98.723,98.767,98.765,98.759,98.753,98.764,98.801,98.817,98.842,98.854,98.873,98.883,98.910,98.927,98.942,99.027,99.089,99.188,99.314,99.392,99.435,99.494,99.542,99.588,99.657,99.729,99.804,99.853,99.918,99.964,100.009,100.036,100.068,100.094,100.076,100.044,100.022,100.014,100.013,100.000,99.998,100.016
13,전남,보성군,94.716,94.986,95.250,95.526,95.796,96.069,96.352,96.641,96.910,97.176,97.457,97.739,98.042,98.345,98.616,98.864,99.061,99.212,99.209,99.202,99.194,99.191,99.189,99.203,99.211,99.214,99.220,99.231,99.245,99.254,99.256,99.259,99.299,99.336,99.389,99.469,99.543,99.613,99.700,99.765,99.835,99.897,99.962,100.012,100.060,100.130,100.171,100.178,100.176,100.166,100.162,100.149,100.094,100.058,100.029,100.009,100.000,99.972,99.963
14,전남,화순군,93.735,94.034,94.326,94.643,94.929,95.209,95.495,95.763,96.022,96.295,96.555,96.840,97.116,97.398,97.656,97.921,98.066,98.198,98.224,98.223,98.221,98.214,98.215,98.214,98.215,98.219,98.222,98.238,98.248,98.397,98.547,98.597,98.699,98.794,98.923,99.022,99.126,99.222,99.312,99.389,99.462,99.554,99.632,99.703,99.766,99.789,99.777,99.774,99.765,99.751,99.741,99.780,99.823,99.868,99.912,99.958,100.000,100.040,100.090
15,전남,장흥군,95.396,95.616,95.834,96.060,96.276,96.487,96.701,96.917,97.126,97.349,97.577,97.795,98.009,98.215,98.408,98.598,98.741,98.875,98.898,98.905,98.896,98.892,98.887,98.885,98.883,98.877,98.874,98.864,98.891,98.954,99.100,99.116,99.212,99.291,99.362,99.437,99.511,99.563,99.601,99.652,99.692,99.742,99.788,99.848,99.895,99.947,99.962,99.973,99.962,99.941,99.930,99.902,99.909,99.929,99.949,99.980,100.000,100.030,100.075
16,전남,강진군,95.440,95.670,95.872,96.069,96.303,96.510,96.723,96.940,97.145,97.367,97.595,97.815,98.030,98.235,98.442,98.641,98.778,98.903,98.930,98.936,98.926,98.921,98.916,98.913,98.909,98.902,98.891,98.879,98.904,99.006,99.123,99.144,99.240,99.311,99.384,99.458,99.521,99.580,99.635,99.680,99.723,99.765,99.810,99.857,99.898,99.931,99.942,99.952,99.942,99.930,99.917,99.903,99.913,99.922,99.933,99.954,100.000,100.035,100.080
17,전남,해남군,94.221,94.453,94.679,94.905,95.112,95.358,95.618,95.888,96.136,96.389,96.662,96.920,97.162,97.380,97.602,97.815,97.955,98.080,98.111,98.121,98.113,98.103,98.101,98.100,98.091,98.087,98.085,98.095,98.125,98.161,98.251,98.346,98.455,98.541,98.668,98.749,98.816,98.881,98.953,99.026,99.061,99.128,99.205,99.284,99.351,99.385,99.379,99.369,99.357,99.344,99.329,99.309,99.280,99.545,99.706,99.870,100.000,100.150,100.316
18,전남,영암군,94.804,95.012,95.212,95.443,95.677,95.872,96.073,96.302,96.489,96.683,96.883,97.076,97.266,97.477,97.667,97.855,97.992,98.113,98.151,98.155,98.153,98.150,98.145,98.140,98.132,98.127,98.114,98.124,98.144,98.213,98.310,98.399,98.494,98.579,98.684,98.801,98.876,98.945,99.028,99.095,99.153,99.242,99.326,99.426,99.495,99.546,99.548,99.538,99.519,99.496,99.468,99.460,99.472,99.572,99.721,99.881,100.000,100.100,100.224
19,전남,무안군,94.361,94.595,94.819,95.023,95.239,95.456,95.681,95.910,96.124,96.336,96.562,96.784,97.015,97.241,97.458,97.669,97.829,97.977,98.010,97.982,97.951,97.933,97.932,97.938,97.935,97.929,97.939,97.922,97.935,98.044,98.099,98.155,98.223,98.284,98.344,98.427,98.478,98.526,98.570,98.614,98.675,98.749,98.835,98.915,98.971,99.000,99.023,99.016,99.005,99.006,99.046,99.121,99.268,99.387,99.514,99.776,100.000,100.246,100.451
20,전남,함평군,94.421,94.666,94.924,95.172,95.423,95.665,95.924,96.195,96.445,96.691,96.941,97.194,97.430,97.659,97.869,98.068,98.209,98.323,98.369,98.379,98.375,98.374,98.373,98.379,98.377,98.369,98.360,98.340,98.351,98.398,98.496,98.566,98.653,98.731,98.821,98.940,99.016,99.089,99.167,99.237,99.306,99.393,99.469,99.548,99.616,99.685,99.716,99.738,99.752,99.751,99.747,99.769,99.869,99.889,99.929,99.969,100.000,100.036,100.085
21,전남,영광군,95.174,95.393,95.639,95.848,96.040,96.236,96.429,96.623,96.794,96.980,97.204,97.407,97.627,97.832,98.043,98.249,98.391,98.509,98.549,98.558,98.557,98.559,98.562,98.549,98.540,98.538,98.532,98.522,98.536,98.585,98.686,98.785,98.855,98.975,99.059,99.130,99.188,99.240,99.320,99.379,99.435,99.490,99.574,99.659,99.728,99.808,99.847,99.879,99.893,99.904,99.908,99.895,99.888,99.893,99.925,99.963,100.000,100.040,100.106
22,전남,장성군,93.407,93.725,94.043,94.367,94.647,94.931,95.267,95.580,95.884,96.186,96.513,96.826,97.169,97.467,97.761,98.050,98.196,98.336,98.379,98.373,98.369,98.370,98.374,98.372,98.377,98.383,98.386,98.403,98.419,98.456,98.589,98.724,98.818,98.885,98.981,99.106,99.179,99.284,99.373,99.483,99.555,99.636,99.706,99.769,99.820,99.858,99.848,99.838,99.826,99.815,99.800,99.820,99.869,99.899,99.920,99.959,100.000,100.044,100.094
23,전남,완도군,95.813,96.079,96.352,96.577,96.761,97.049,97.240,97.402,97.560,97.715,97.988,98.230,98.449,98.670,98.886,99.102,99.248,99.392,99.420,99.412,99.401,99.385,99.369,99.345,99.332,99.315,99.292,99.276,99.266,99.372,99.414,99.458,99.545,99.615,99.668,99.741,99.806,99.854,99.912,99.978,100.019,100.050,100.073,100.109,100.131,100.160,100.175,100.165,100.146,100.112,100.094,100.067,100.057,100.038,100.008,100.010,100.000,99.995,100.004
24,전남,진도군,95.983,96.175,96.370,96.575,96.759,96.943,97.127,97.312,97.501,97.688,97.878,98.070,98.261,98.454,98.647,98.837,98.985,99.112,99.132,99.131,99.128,99.127,99.129,99.131,99.118,99.110,99.089,99.072,99.051,99.116,99.156,99.209,99.253,99.308,99.375,99.434,99.492,99.536,99.603,99.659,99.710,99.767,99.833,99.886,99.926,99.968,99.982,99.991,99.981,99.983,99.965,99.976,99.981,99.974,99.979,99.996,100.000,99.997,100.012
25,전남,신안군,94.521,94.831,95.093,95.429,95.726,95.992,96.265,96.517,96.728,96.996,97.269,97.473,97.671,97.906,98.147,98.349,98.485,98.619,98.608,98.602,98.585,98.577,98.571,98.560,98.543,98.536,98.518,98.491,98.518,98.609,98.657,98.704,98.778,98.852,98.932,99.022,99.099,99.168,99.257,99.317,99.376,99.466,99.567,99.638,99.711,99.746,99.762,99.753,99.712,99.687,99.663,99.673,99.743,99.775,99.808,99.859,100.000,100.090,100.203
