No,지역,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
11,경남,통영시,통영시,96.881,97.067,97.223,97.392,97.546,97.712,97.882,98.036,98.183,98.342,98.504,98.655,98.807,98.955,99.104,99.244,99.368,99.437,99.501,99.523,99.532,99.535,99.540,99.551,99.553,99.562,99.571,99.577,99.567,99.570,99.581,99.589,99.609,99.653,99.713,99.823,99.904,100.009,100.072,100.111,100.141,100.142,100.213,100.287,100.304,100.315,100.327,100.333,100.336,100.337,100.320,100.260,100.178,100.105,100.063,100.007,100.000,99.993,99.985
12,경남,사천시,사천시,96.369,96.501,96.619,96.755,96.883,96.995,97.110,97.219,97.328,97.472,97.720,97.916,98.121,98.273,98.466,98.583,98.687,98.797,98.865,98.934,98.955,98.985,99.016,99.048,99.072,99.097,99.119,99.137,99.152,99.165,99.175,99.191,99.211,99.233,99.261,99.299,99.342,99.374,99.406,99.437,99.474,99.512,99.545,99.587,99.631,99.682,99.733,99.781,99.827,99.875,99.905,99.926,99.940,99.952,99.965,99.983,100.000,100.014,100.025
13,경남,김해시,김해시,92.783,92.971,93.159,93.430,93.649,93.875,94.104,94.330,94.480,94.679,94.869,95.097,95.347,95.588,95.812,96.019,96.202,96.335,96.389,96.450,96.499,96.547,96.603,96.647,96.693,96.731,96.768,96.799,96.824,96.845,96.858,96.869,96.878,96.918,97.003,97.193,97.378,97.593,97.814,97.992,98.123,98.238,98.343,98.442,98.547,98.675,98.794,98.936,99.076,99.229,99.373,99.499,99.619,99.725,99.815,99.903,100.000,100.089,100.185
14,경남,밀양시,밀양시,95.178,95.315,95.451,95.587,95.730,95.828,95.979,96.076,96.174,96.272,96.419,96.545,96.686,96.830,96.946,97.061,97.175,97.289,97.373,97.409,97.426,97.456,97.495,97.535,97.579,97.616,97.647,97.675,97.677,97.678,97.700,97.720,97.731,97.758,97.806,97.905,98.005,98.100,98.202,98.291,98.372,98.489,98.628,98.776,98.875,98.989,99.108,99.240,99.354,99.458,99.555,99.621,99.711,99.785,99.849,99.939,100.000,100.047,100.088
15,경남,거제시,거제시,100.745,100.892,101.077,101.282,101.385,101.440,101.468,101.483,101.512,101.565,101.720,101.876,102.029,102.183,102.297,102.381,102.393,102.340,102.221,102.106,102.010,101.905,101.808,101.725,101.650,101.577,101.497,101.501,101.453,101.425,101.417,101.415,101.363,101.281,101.219,101.197,101.183,101.180,101.179,101.133,101.079,101.007,100.950,100.886,100.808,100.747,100.693,100.623,100.561,100.489,100.422,100.343,100.271,100.188,100.123,100.070,100.000,99.906,99.823
16,경남,양산시,양산시,95.170,95.309,95.485,95.705,95.926,96.090,96.247,96.381,96.520,96.657,96.844,97.035,97.249,97.461,97.640,97.788,97.896,97.944,97.934,97.932,97.936,97.928,97.925,97.931,97.937,97.997,98.028,98.057,98.105,98.153,98.175,98.235,98.244,98.256,98.300,98.379,98.449,98.565,98.695,98.840,98.968,99.104,99.214,99.318,99.395,99.468,99.515,99.570,99.636,99.699,99.752,99.807,99.853,99.890,99.931,99.967,100.000,100.037,100.078
17,경남,의령군,의령군,96.921,97.113,97.252,97.398,97.526,97.659,97.798,97.948,98.092,98.213,98.377,98.495,98.612,98.767,98.898,99.035,99.150,99.230,99.286,99.300,99.314,99.331,99.348,99.362,99.374,99.384,99.393,99.404,99.408,99.422,99.435,99.451,99.463,99.490,99.515,99.559,99.615,99.658,99.695,99.731,99.787,99.843,99.886,99.933,99.956,99.975,99.999,100.022,100.043,100.062,100.080,100.087,100.045,100.022,100.013,100.009,100.000,99.982,99.972
18,경남,함안군,함안군,96.375,96.548,96.728,96.885,97.028,97.196,97.382,97.538,97.683,97.838,98.024,98.194,98.360,98.516,98.666,98.804,98.928,99.025,99.111,99.175,99.198,99.222,99.255,99.273,99.287,99.300,99.308,99.316,99.321,99.326,99.336,99.342,99.353,99.375,99.410,99.473,99.529,99.591,99.655,99.718,99.775,99.830,99.888,99.950,99.972,99.987,100.007,100.027,100.041,100.055,100.071,100.073,100.045,100.031,100.022,100.012,100.000,99.986,99.985
19,경남,창녕군,창녕군,96.468,96.680,96.902,97.068,97.213,97.381,97.515,97.674,97.807,97.921,98.099,98.272,98.432,98.587,98.732,98.881,98.995,99.081,99.162,99.223,99.245,99.269,99.299,99.318,99.334,99.347,99.356,99.367,99.377,99.389,99.401,99.412,99.422,99.447,99.478,99.514,99.567,99.603,99.664,99.724,99.772,99.822,99.865,99.918,99.950,99.994,100.030,100.067,100.103,100.123,100.142,100.154,100.094,100.014,99.997,100.006,100.000,99.990,99.953
20,경남,고성군,고성군,96.329,96.490,96.647,96.793,96.943,97.099,97.250,97.415,97.561,97.712,97.867,98.036,98.213,98.372,98.523,98.672,98.799,98.875,98.956,99.020,99.043,99.070,99.101,99.118,99.129,99.137,99.145,99.151,99.161,99.171,99.183,99.202,99.214,99.230,99.267,99.352,99.437,99.533,99.595,99.655,99.721,99.778,99.834,99.882,99.928,99.954,99.971,99.986,99.997,100.010,100.019,100.024,99.997,99.992,99.990,100.003,100.000,99.985,99.963
21,경남,남해군,남해군,92.752,93.033,93.306,93.585,93.890,94.191,94.496,94.797,95.103,95.397,95.712,96.012,96.298,96.583,96.860,97.125,97.370,97.561,97.683,97.756,97.777,97.796,97.825,97.851,97.878,97.904,97.933,98.047,98.139,98.217,98.315,98.416,98.531,98.636,98.766,98.898,99.022,99.127,99.231,99.316,99.392,99.492,99.573,99.647,99.707,99.784,99.879,99.944,99.995,100.030,100.037,100.038,100.025,100.018,100.003,99.997,100.000,100.025,100.019
22,경남,하동군,하동군,96.925,97.045,97.154,97.276,97.368,97.472,97.597,97.734,97.857,97.981,98.136,98.304,98.450,98.602,98.741,98.862,98.961,99.060,99.121,99.148,99.162,99.175,99.191,99.206,99.222,99.232,99.248,99.262,99.279,99.294,99.309,99.322,99.338,99.351,99.368,99.401,99.439,99.486,99.530,99.563,99.602,99.636,99.673,99.713,99.743,99.773,99.820,99.861,99.900,99.935,99.952,99.959,99.966,99.975,99.983,99.993,100.000,99.997,99.990
23,경남,산청군,산청군,96.868,96.998,97.122,97.229,97.337,97.457,97.585,97.761,97.901,98.047,98.216,98.390,98.542,98.686,98.829,98.937,99.039,99.139,99.228,99.272,99.287,99.303,99.323,99.343,99.365,99.381,99.392,99.402,99.413,99.421,99.431,99.445,99.465,99.481,99.512,99.562,99.599,99.623,99.650,99.683,99.721,99.765,99.804,99.836,99.867,99.895,99.938,99.978,100.010,100.041,100.041,100.031,100.016,100.002,99.994,99.996,100.000,99.992,99.977
24,경남,함양군,함양군,96.454,96.584,96.709,96.835,96.960,97.094,97.244,97.396,97.533,97.673,97.831,97.982,98.128,98.280,98.429,98.570,98.705,98.831,98.927,98.971,98.987,98.996,99.012,99.032,99.052,99.071,99.085,99.102,99.114,99.124,99.141,99.162,99.175,99.186,99.222,99.276,99.306,99.376,99.437,99.491,99.531,99.581,99.622,99.671,99.702,99.742,99.793,99.837,99.882,99.926,99.939,99.950,99.959,99.965,99.980,99.992,100.000,100.010,100.004
25,경남,거창군,거창군,95.876,96.032,96.180,96.323,96.460,96.632,96.789,96.952,97.107,97.264,97.451,97.640,97.816,97.987,98.150,98.315,98.468,98.612,98.706,98.774,98.785,98.798,98.825,98.860,98.896,98.925,98.955,98.975,99.000,99.021,99.045,99.073,99.097,99.113,99.160,99.214,99.273,99.326,99.378,99.419,99.474,99.532,99.581,99.637,99.678,99.710,99.759,99.811,99.844,99.875,99.896,99.915,99.938,99.953,99.965,99.987,100.000,99.996,99.993
26,경남,합천군,합천군,96.596,96.761,96.920,97.076,97.224,97.375,97.540,97.705,97.850,97.997,98.164,98.321,98.452,98.594,98.740,98.857,98.955,99.048,99.089,99.131,99.146,99.164,99.179,99.195,99.212,99.229,99.243,99.258,99.272,99.286,99.300,99.314,99.329,99.349,99.372,99.395,99.413,99.438,99.468,99.502,99.547,99.589,99.626,99.665,99.702,99.739,99.783,99.819,99.853,99.885,99.909,99.928,99.946,99.959,99.971,99.984,100.000,100.015,100.012
